Id,Label,timeset,d1,d2
1736,1736,,-3.732547,-38.52549
2472,2472,,-3.753752,-38.521525
260,260,,-3.714499,-38.56579
1030,1030,,-3.724051,-38.527068
5810,5810,,-3.831156,-38.501802
5460,5460,,-3.713496,-38.600155
3446,3446,,-3.810745,-38.478812
5130,5130,,-3.808711,-38.554326
5638,5638,,-3.733063,-38.503142
4018,4018,,-3.755704,-38.535188
2149,2149,,-3.739023,-38.499375
2827,2827,,-3.754972,-38.546011
1610,1610,,-3.736143,-38.537183
948,948,,-3.724802,-38.563482
1010,1010,,-3.726126,-38.534241
3501,3501,,-3.722709,-38.530134
2541,2541,,-3.747803,-38.495026
2045,2045,,-3.738141,-38.547871
